sonoisa/sentence-bert-base-ja-mean-tokens-v2,tohoku-nlp/bert-base-japanese,tohoku-nlp/bert-base-japanese-v3,tohoku-nlp/bert-base-japanese-char-v3,tohoku-nlp/bert-large-japanese-v2,tohoku-nlp/bert-large-japanese-char-v2
16.89109,11.669442,13.493406,7.1691647,12.985718,10.074658
16.114508,11.540935,13.068475,7.026271,13.081724,10.511156
15.988895,11.52981,13.012889,7.128787,13.087514,10.131893
16.98902,11.689539,12.976649,7.339111,13.365745,10.770253
17.325514,11.507092,13.481091,7.335437,13.912346,10.741357
16.864605,11.426792,13.417968,7.2729015,13.714174,10.025595
15.685217,11.424949,13.159942,7.0107503,13.639061,10.287355
17.194904,11.851328,13.513985,7.522571,14.076168,10.164475
17.259718,11.610648,13.293557,7.2581472,12.85723,10.581559
15.471827,11.596966,13.183033,6.942458,13.467417,9.912143
16.193499,11.686017,13.447459,7.3178606,13.282701,10.748714
16.916199,11.370737,13.375842,7.3315334,13.303764,9.723412
16.897903,11.802433,13.374478,7.3166895,12.833317,10.395579
17.005955,11.350822,12.919325,7.0425096,13.995393,10.405121
16.248283,11.8638735,13.411616,7.242644,13.005973,9.95764
16.242146,12.005556,13.352585,7.228476,12.75328,9.917523
16.441254,11.71425,13.273159,7.133577,12.865166,10.406634
16.281742,11.844223,13.301865,7.222642,13.0781555,10.020009
