Recording,Participant,Timeline,TOI,Interval,Media,SV_rest,SV_Text,AOI,AOI_rest,AOI_sentence,Duration_of_interval,Start_of_interval,Last_key_press,Total_duration_of_fixations,Average_duration_of_fixations,Minimum_duration_of_fixations,Maximum_duration_of_fixations,Number_of_fixations,Time_to_first_fixation,Duration_of_first_fixation,Last_AOI_viewed,AOI_at_interval_end,Average_pupil_diameter,Total_duration_of_whole_fixations,Average_duration_of_whole_fixations,Minimum_duration_of_whole_fixations,Maximum_duration_of_whole_fixations,Number_of_whole_fixations,Time_to_first_whole_fixation,Duration_of_first_whole_fixation,Average_whole-fixation_pupil_diameter,Total_duration_of_Visit,Average_duration_of_Visit,Minimum_duration_of_Visit,Maximum_duration_of_Visit,Number_of_Visits,Time_to_first_Visit,Duration_of_first_Visit,Total_duration_of_Glances,Average_duration_of_Glances,Minimum_duration_of_Glances,Maximum_duration_of_Glances,Number_of_Glances,Time_to_first_Glance,Duration_of_first_Glance,Number_of_mouse_clicks,Time_to_first_mouse_click,Time_from_first_fixation_to_mouse_click,Number_of_mouse_clicks_and_releases,Time_to_first_mouse_click_and_release,Time_from_first_fixation_to_mouse_click_and_release,Number_of_saccades_in_AOI,Time_to_entry_saccade,Time_to_exit_saccade,Peak_velocity_of_entry_saccade,Peak_velocity_of_exit_saccade,Character_index,Word_index,Sentence_index,AOI_string,Text_unit_type,Number_of_units,First-pass_first_fixation_duration,First-pass_duration,Selective_regression-path_duration,First-pass_regression,Total_duration_of_fixations.1,Regression-path_duration,Re-reading_duration
Recording1,son,Version1,TOI_Text1,1,文章36_1,,SV_Text_画面1,機械学習システムに不公平が生じるとき、最も一般的なのは訓練用データにバイアスがあるせいだが、それだけが原因ではない。,,Tag1,74643,386322,,474,119.0,17.0,221.0,4,574.0,127.0,"機械学習システムに不公平が生じるとき、最も一般的なのは訓練用データにバイアスがあるせいだが、それだけが原因ではない。,習","機械学習システムに不公平が生じるとき、最も一般的なのは訓練用データにバイアスがあるせいだが、それだけが原因ではない。,習",2.42596,457,152.0,110.0,221.0,3,574.0,127.0,2.42786,515,172.0,17.0,388.0,3,574.0,388.0,652,217.0,83.0,432.0,3,530.0,432.0,0,,,0,,,1,1240.0,962.0,72.9,51.6,,,1,機械学習システムに不公平が生じるとき、最も一般的なのは訓練用データにバイアスがあるせいだが、それだけが原因ではない。,Sentence,1.0,127.0,457.0,457.0,0.0,474.0,457.0,0.0
Recording1,son,Version1,TOI_Text1,1,文章36_1,,SV_Text_画面1,アルゴリズムの設計自体がバイアスをもたらしたり、強めたりすることもある。,,Tag2,74643,386322,,10215,393.0,85.0,1187.0,26,2346.0,428.0,"機械学習システムに不公平が生じるとき、最も一般的なのは訓練用データにバイアスがあるせいだが、それだけが原因ではない。,習","機械学習システムに不公平が生じるとき、最も一般的なのは訓練用データにバイアスがあるせいだが、それだけが原因ではない。,習",2.5411,10215,393.0,85.0,1187.0,26,2346.0,428.0,2.5411,11587,5794.0,428.0,11159.0,2,2346.0,428.0,11633,5817.0,448.0,11185.0,2,2326.0,448.0,0,,,0,,,19,2326.0,2775.0,61.58,39.74,,,2,アルゴリズムの設計自体がバイアスをもたらしたり、強めたりすることもある。,Sentence,1.0,428.0,10215.0,10215.0,0.0,10215.0,10215.0,0.0
Recording1,son,Version1,TOI_Text1,1,文章36_1,,SV_Text_画面1,たとえば顔認識システムを訓練するのに、アメリカの人口分布を正確に反映したデータセットを使ったとしよう。,,Tag3,74643,386322,,4663,291.0,85.0,792.0,16,15428.0,349.0,"機械学習システムに不公平が生じるとき、最も一般的なのは訓練用データにバイアスがあるせいだが、それだけが原因ではない。,習","機械学習システムに不公平が生じるとき、最も一般的なのは訓練用データにバイアスがあるせいだが、それだけが原因ではない。,習",2.35363,4663,291.0,85.0,792.0,16,15428.0,349.0,2.35363,5292,1323.0,178.0,4219.0,4,15428.0,4219.0,5467,1367.0,229.0,4278.0,4,15369.0,4278.0,0,,,0,,,10,15369.0,19647.0,451.93,56.83,,,3,たとえば顔認識システムを訓練するのに、アメリカの人口分布を正確に反映したデータセットを使ったとしよう。,Sentence,1.0,349.0,3639.0,3639.0,0.0,4663.0,3639.0,0.0
Recording1,son,Version1,TOI_Text1,1,文章36_1,,SV_Text_画面1,アフリカ系アメリカ人は人口全体の一三パーセントほどしかいないので、システム自体に黒人に不利なバイアスがかかってしまう可能性がある。,,Tag4,74643,386322,,8702,264.0,76.0,624.0,33,19666.0,529.0,"機械学習システムに不公平が生じるとき、最も一般的なのは訓練用データにバイアスがあるせいだが、それだけが原因ではない。,習","機械学習システムに不公平が生じるとき、最も一般的なのは訓練用データにバイアスがあるせいだが、それだけが原因ではない。,習",2.36886,8702,264.0,76.0,624.0,33,19666.0,529.0,2.36886,9817,1402.0,76.0,5792.0,7,19666.0,5792.0,10005,1429.0,95.0,5812.0,7,19647.0,5812.0,0,,,0,,,23,19647.0,25459.0,56.83,281.45,,,4,アフリカ系アメリカ人は人口全体の一三パーセントほどしかいないので、システム自体に黒人に不利なバイアスがかかってしまう可能性がある。,Sentence,1.0,529.0,4918.0,5967.0,1.0,8702.0,6487.0,1569.0
Recording1,son,Version1,TOI_Text1,1,文章36_1,,SV_Text_画面1,これがどこまで問題になるのか、また問題が強められるのか弱められるのかは、アルゴリズムの設計段階でどのような技術上の決定を下すかに左右されるだろう。,,Tag5,74643,386322,,11305,263.0,63.0,882.0,43,27399.0,72.0,"機械学習システムに不公平が生じるとき、最も一般的なのは訓練用データにバイアスがあるせいだが、それだけが原因ではない。,習","機械学習システムに不公平が生じるとき、最も一般的なのは訓練用データにバイアスがあるせいだが、それだけが原因ではない。,習",2.39379,11305,263.0,63.0,882.0,43,27399.0,72.0,2.39379,12832,2139.0,186.0,5257.0,6,27399.0,337.0,13022,2170.0,227.0,5282.0,6,27394.0,342.0,0,,,0,,,32,28942.0,37585.0,78.48,44.0,,,5,これがどこまで問題になるのか、また問題が強められるのか弱められるのかは、アルゴリズムの設計段階でどのような技術上の決定を下すかに左右されるだろう。,Sentence,1.0,72.0,322.0,10578.0,1.0,11305.0,11881.0,11559.0
Recording1,son,Version1,TOI_Text1,1,文章36_1,,SV_Text_画面1,一ついい知らせがある。,,Tag6,74643,386322,,4316,332.0,67.0,941.0,13,41779.0,230.0,"機械学習システムに不公平が生じるとき、最も一般的なのは訓練用データにバイアスがあるせいだが、それだけが原因ではない。,習","機械学習システムに不公平が生じるとき、最も一般的なのは訓練用データにバイアスがあるせいだが、それだけが原因ではない。,習",2.34003,4316,332.0,67.0,941.0,13,41779.0,230.0,2.34003,4876,1625.0,170.0,3657.0,3,41779.0,3657.0,4976,1659.0,191.0,3672.0,3,41764.0,3672.0,0,,,0,,,8,46054.0,45437.0,316.24,293.42,,,6,一ついい知らせがある。,Sentence,1.0,230.0,3342.0,4146.0,1.0,4316.0,4687.0,1345.0
Recording1,son,Version1,TOI_Text1,1,文章36_1,,SV_Text_画面1,透明かつ公平な機械学習システムの設計がいま、AI研究の主要な焦点になっていることだ。,,Tag7,74643,386322,,6368,245.0,96.0,441.0,26,47213.0,441.0,"機械学習システムに不公平が生じるとき、最も一般的なのは訓練用データにバイアスがあるせいだが、それだけが原因ではない。,習","機械学習システムに不公平が生じるとき、最も一般的なのは訓練用データにバイアスがあるせいだが、それだけが原因ではない。,習",2.33757,6368,245.0,96.0,441.0,26,47213.0,441.0,2.33757,7201,3600.0,434.0,6767.0,2,47213.0,6767.0,7287,3643.0,472.0,6814.0,2,47166.0,6814.0,0,,,0,,,22,47166.0,53980.0,239.98,257.68,,,7,透明かつ公平な機械学習システムの設計がいま、AI研究の主要な焦点になっていることだ。,Sentence,1.0,441.0,5969.0,5969.0,0.0,6368.0,5969.0,0.0
Recording1,son,Version1,TOI_Text1,1,文章36_1,,SV_Text_画面1,大手テック企業が軒並みこの分野に多額の投資を行っていて、グーグル、フェイスブック、マイクロソフト、IBMから、開発者が機械学習アルゴリズムに公平性を組み込むことを支援するためのソフトウェアツールが発表されている。,,Tag8,74643,386322,,14837,297.0,74.0,1631.0,50,54033.0,457.0,"機械学習システムに不公平が生じるとき、最も一般的なのは訓練用データにバイアスがあるせいだが、それだけが原因ではない。,習","機械学習システムに不公平が生じるとき、最も一般的なのは訓練用データにバイアスがあるせいだが、それだけが原因ではない。,習",2.33799,14837,297.0,74.0,1631.0,50,54033.0,457.0,2.33799,16419,8210.0,651.0,15768.0,2,54033.0,15768.0,16490,8245.0,668.0,15822.0,2,53980.0,15822.0,0,,,0,,,46,53980.0,69802.0,257.68,50.64,,,8,大手テック企業が軒並みこの分野に多額の投資を行っていて、グーグル、フェイスブック、マイクロソフト、IBMから、開発者が機械学習アルゴリズムに公平性を組み込むことを支援するためのソフトウェアツールが発表されている。,Sentence,2.0,457.0,14837.0,14837.0,1.0,14837.0,17546.0,2708.0
Recording1,son,Version1,TOI_Text2,1,文章36_2,,SV_Text_画面2,ディープラーニングシステムを説明可能で透明な、出てきた結果を監査可能なものにすることが特に重要な理由は、ディープニューラルネットワークの構造にある。,,Tag9,66885,460966,,6303,252.0,133.0,606.0,25,0.0,193.0,"また、ディープラーニングシステムの公平性を評価・保持することはきわめて難しく、技術的にも高度な課題となる。,公","また、ディープラーニングシステムの公平性を評価・保持することはきわめて難しく、技術的にも高度な課題となる。,公",2.32777,6110,255.0,133.0,606.0,24,231.0,287.0,2.32684,6989,1165.0,246.0,2685.0,6,0.0,518.0,7119,1187.0,283.0,2706.0,6,0.0,518.0,0,,,0,,,18,1389.0,518.0,61.49,37.24,,,1,ディープラーニングシステムを説明可能で透明な、出てきた結果を監査可能なものにすることが特に重要な理由は、ディープニューラルネットワークの構造にある。,Sentence,1.0,193.0,480.0,480.0,0.0,6303.0,480.0,0.0
Recording1,son,Version1,TOI_Text2,1,文章36_2,,SV_Text_画面2,入力データの分析と理解が人エニューロン同士の何百万もの接続にわたって分配されるために、一種の「ブラックボックス」になりがちだからだ。,,Tag10,66885,460966,,10723,275.0,92.0,1014.0,39,853.0,314.0,"また、ディープラーニングシステムの公平性を評価・保持することはきわめて難しく、技術的にも高度な課題となる。,公","また、ディープラーニングシステムの公平性を評価・保持することはきわめて難しく、技術的にも高度な課題となる。,公",2.30496,10723,275.0,92.0,1014.0,39,853.0,314.0,2.30496,12405,1772.0,163.0,7870.0,7,853.0,537.0,12627,1804.0,195.0,7898.0,7,824.0,565.0,0,,,0,,,26,824.0,1389.0,96.14,61.49,,,2,入力データの分析と理解が人エニューロン同士の何百万もの接続にわたって分配されるために、一種の「ブラックボックス」になりがちだからだ。,Sentence,1.0,314.0,507.0,8191.0,1.0,10723.0,12302.0,11795.0
